┌─────────┬──────────┬──────────────────┬────────────────┬──────────┬──────────┐
│ (index) │   sku    │   account_ref    │    user_ref    │ quantity │  value   │
├─────────┼──────────┼──────────────────┼────────────────┼──────────┼──────────┤
│    0    │ 'UZDIAW' │ 'LLFXMPKKEMDZZU' │       ''       │   '2'    │ '570.29' │
│    1    │ 'GKAOLN' │ 'ETJCIXNTVDVENS' │       ''       │   '2'    │ '454.25' │
│    2    │ 'SIUOJS' │        ''        │       ''       │   '1'    │ '66.83'  │
│    3    │ 'WAPZQX' │ 'QAPOVZVAEPWGHD' │       ''       │   '1'    │ '304.62' │
│    4    │ 'DQCJBZ' │        ''        │       ''       │   '2'    │ '261.13' │
│    5    │ 'NUTUMM' │ 'YNRXEQKQSJDUVR' │       ''       │   '3'    │ '261.76' │
│    6    │ 'IUTHJY' │        ''        │       ''       │   '3'    │ '269.13' │
│    7    │ 'MFGSKX' │        ''        │       ''       │   '1'    │ '188.79' │
│    8    │ 'JJLSSL' │        ''        │       ''       │   '1'    │ '124.29' │
│    9    │ 'GXXTRN' │        ''        │       ''       │   '1'    │ '144.97' │
│   10    │ 'GMNWYD' │        ''        │       ''       │   '3'    │ '74.67'  │
│   11    │ 'BUWOCC' │        ''        │       ''       │   '2'    │ '333.7'  │
│   12    │ 'UYVDRX' │ 'BOQDGYPDNQDVQH' │       ''       │   '1'    │ '456.23' │
│   13    │ 'QNEFNI' │ 'JVSKUVGJKPTJJW' │ 'CZEKMXQPXMOM' │   '3'    │ '316.92' │
│   14    │ 'BEJSME' │ 'XTHGZDRDGFFJOV' │ 'RAXEBAONFUNL' │   '1'    │ '243.2'  │
│   15    │ 'BIOMBO' │        ''        │       ''       │   '3'    │ '66.16'  │
│   16    │ 'EWUKIF' │ 'SEFMLNSBBYYEMJ' │       ''       │   '1'    │ '487.42' │
│   17    │ 'PGCIMN' │        ''        │       ''       │   '1'    │ '116.51' │
│   18    │ 'XPHKUD' │        ''        │       ''       │   '2'    │ '202.88' │
│   19    │ 'EEAGVO' │        ''        │       ''       │   '3'    │ '159.86' │
│   20    │ 'QUBEQZ' │ 'BUXWVFFMJOUTGC' │ 'DIIAIHDAQHVM' │   '2'    │ '241.91' │
│   21    │ 'CHXNLG' │        ''        │       ''       │   '2'    │ '290.63' │
│   22    │ 'PGCBEX' │ 'OOQHJGNITYIXTY' │ 'MCOJEKSEYNUU' │   '1'    │ '701.43' │
│   23    │ 'JGRCQD' │ 'LPCUWFVOMPMJHL' │       ''       │   '2'    │ '446.63' │
│   24    │ 'DNLURA' │ 'QPMCEKOJCPLEAR' │       ''       │   '3'    │ '281.36' │
│   25    │ 'KHVGCR' │        ''        │       ''       │   '2'    │ '673.93' │
│   26    │ 'QOGVVY' │        ''        │       ''       │   '2'    │ '518.18' │
│   27    │ 'NWUKJZ' │ 'CWIMLMOPZARVSX' │       ''       │   '1'    │ '273.09' │
│   28    │ 'OZLFGF' │ 'BEMYPOPDEWWCAN' │       ''       │   '3'    │ '438.13' │
│   29    │ 'ROACGJ' │        ''        │       ''       │   '2'    │ '105.59' │
│   30    │ 'QBEWQT' │        ''        │       ''       │   '1'    │ '121.03' │
│   31    │ 'COWVNK' │        ''        │       ''       │   '2'    │ '23.39'  │
│   32    │ 'GFMBSZ' │ 'LPCUWFVOMPMJHL' │ 'NGYDJNVJCZOG' │   '1'    │ '456.59' │
│   33    │ 'PZKOAO' │ 'UERRUZRLMUYDAQ' │ 'XEQYHMMJRKNF' │   '1'    │ '430.61' │
│   34    │ 'ZUMLLL' │ 'YRGNIUDXOVAGOS' │       ''       │   '3'    │ '205.53' │
│   35    │ 'BTUEHB' │ 'GQWQKSSYXPJKQL' │       ''       │   '1'    │ '569.72' │
│   36    │ 'KHVGCR' │        ''        │       ''       │   '2'    │ '662.11' │
│   37    │ 'GJGPJS' │ 'CKTAZQGXASXMVQ' │ 'JIMBOHOSYHZZ' │   '2'    │ '614.79' │
│   38    │ 'WIAWOP' │        ''        │       ''       │   '3'    │ '64.49'  │
│   39    │ 'UXEOVI' │ 'ROCIYTFQLJAXXB' │       ''       │   '2'    │ '328.73' │
│   40    │ 'JGRCQD' │ 'KJJDZTDDIUGDAN' │       ''       │   '2'    │ '539.88' │
│   41    │ 'WFDPQV' │ 'KLIXKLXWFSHVOU' │       ''       │   '3'    │ '535.01' │
│   42    │ 'ZOGFYB' │ 'LCJGUZEMHDDHTU' │       ''       │   '3'    │ '472.69' │
│   43    │ 'DXAWDC' │ 'XSUHXXKWSPYDWD' │ 'SXPGTKGXIEND' │   '3'    │ '94.64'  │
│   44    │ 'KKMWEX' │        ''        │       ''       │   '2'    │ '111.24' │
